luganda,english
Oli otya,How are you
Ndi Muganda,I am Lugandan
Webale nnyo,Thank you very much
Agalimi gaffe tumukulira,We love our country
Eggwanga ere gye werebwamu,This nation where we are
Okutegeeza Oluganda kwa obulungi kye kuziiyiza,Speaking Luganda well is important
Olwokubiri twe tulina emirimu mingi,For this reason we have many tasks
Katonda akuwa essanyu,God gives joy
Baali baleete ennyo z'emiyigo,They brought many car tires
Okutuufu ne kyo kye kiyinza kuva eri Katonda,Truth is what can come from God
Okwekumanya n'okwekubaganya bili bibikira,Meeting and parting are their causes
Kyokka lukeka lwonna luno lukyali lungi,But all this speech was good
Omusajja omu azaalira,One man fathers
Oluganda lwe lulimi lya bazadde baffe,Luganda is the language of our ancestors
Omwana omusita afa mu luuyi,The sick child dies on the journey
Luganda lukyali lulimi lurungi nnyo,Luganda was a very beautiful language
Ensolo essanvu sa nzira,Wild animals are not the way
Okugala okukola okwo okwo,Continuing to do the same thing
