luganda,english
Obwekika bwa kika kye maanyi,Clan unity is strength
Ndi wa kika kya Mmamba,I belong to the Mmamba clan
Kabaka alinda abantu b'Buganda,The Kabaka protects Buganda's people
Kabaka yalambula abantu,The Kabaka visited the people
Nnabagereka alina maanyi mangi,The Nnabagereka holds great power
Ossegeze enkola z'Buganda,Respect the traditions of Buganda
Buganda erina emiwendo nyo gy'okukola entalo,Buganda has a proud history
Okussegeza abakulu kye nkola emajasi,Respecting elders shows good manners
Abakulu batugeeza entegeka empya,The elders bless new endeavors
Nkwesigamizza okuba Muganda,I am proud to be Baganda
Ekigazi kya nkola kituunika olubwamu,Traditional ceremonies bond families
Nnabagereka ye nnakaffe,The Nnabagereka is the queen
