luganda,english
Nkekkaanya,I speak
Kyokka mu Afrika,But in Africa
Enkoko efuna amakuba mu zzira,The chicken gets corn in the compound
Okukyamu n'okuyingira mu mmotoka,Going back and entering the car
Omugagga aba mukyanyankanya,The rich man becomes confused
Omusaj omufu ayinza okuzaalira,A dead man can father children
Mwami atandika okukuba engoma,The chief started playing the drum
Ennyo z'obwavu zaagwa ku kabaka,The pieces of cloth fell on the king
Baafuna ffenna eyali mu nnooyi,They found everything that was in the stomach
Okutegeeza Oluganda kwe kutegeeza ensimu y'obwesige,Speaking Luganda is explaining the house of tradition
Ewange lyeeyali lya Katonda,My portion was of God
Nali njagala emikolo gyennyini,I was loving my heritage
Bafa mu kufa kwa Yesu,They die in the death of Jesus
Amagye gatwalibwa Katonda,Fathers are taken by God
Kyokka tukakwata kabali k'emboozi,But we held a goat's horn
