english,luganda,source
The kingdom values wisdom from elders.,Obwakabaka butwala amagezi g'abakadde ng'ekikulu.,cultural_dataset.csv
They die in the death of Jesus,Bafa mu kufa kwa Yesu,data\raw\jw300_parallel.csv
"In Buganda culture, respect for elders is very important.",Mu buwangwa bwa Buganda okuwa abakadde ekitiibwa kikulu nnyo.,cultural_dataset.csv
God's blessings give life,Entonda za Katonda bazaalira,data\raw\makerere_nlp.csv
This nation where we are,Eggwanga ere gye werebwamu,data\raw\sunbird_salt.csv
The Kabaka encouraged unity among all clans.,Kabaka yakubiriza obumu mu bika byonna.,cultural_dataset.csv
The community worked together to clean the well.,Abantu b'ekitundu baakolera wamu okuyonja oluzzi.,cultural_dataset.csv
The royal drums announced the start of the gathering.,Engoma za Kabaka zaalanga okutandika kw'enkuŋŋaana.,cultural_dataset.csv
Speaking Luganda is explaining the house of tradition,Okutegeeza Oluganda kwe kutegeeza ensimu y'obwesige,data\raw\jw300_parallel.csv
Wild animals are not the way,Ensolo essanvu sa nzira,data\raw\sunbird_salt.csv
Meeting and parting are their causes,Okwekumanya n'okwekubaganya bili bibikira,data\raw\sunbird_salt.csv
The Buganda kingdom is ancient and wise,Obwakabaka bwa Buganda kikira mu miwaliro,data\cultural\cultural_training_data.csv
Clan history is rich and deep,Emiwendo gy'ekika kyaffe gikira mu miwaliro,data\cultural\cultural_training_data.csv
People met at the palace for community dialogue.,Abantu baakuŋŋaanira ku lubiri okukubaganya ebirowoozo ku by'ekitundu.,cultural_dataset.csv
The king is the ruler of Buganda,Kabaka ye mukulu wa Buganda,data\cultural\cultural_training_data.csv
Clan names carry ancestral meaning,Erinnya ly'ekika lirya lya mwanzo,data\cultural\cultural_training_data.csv
The king reminded everyone to preserve culture.,Kabaka yajjukiza bonna okukuuma obuwangwa.,cultural_dataset.csv
Traditional wisdom is invaluable,Nkola ey'infenenefu eya mwanzo ewanvu,data\cultural\cultural_training_data.csv
How are you,Oli otya,data\raw\sunbird_salt.csv
Ritual is part of our culture,Ekigazi kye gaffle nk'ekika kyenna,data\cultural\cultural_training_data.csv
My mother's clan is important,Ekika kya maama yange kiri mwaanyi,data\cultural\cultural_training_data.csv
Children learned in school,Abaana bashimidde mu ssomero,data\raw\makerere_nlp.csv
The pieces of cloth fell on the king,Ennyo z'obwavu zaagwa ku kabaka,data\raw\jw300_parallel.csv
I am proud to be Baganda,Nkwesigamizza okuba Muganda,data\cultural\cultural_training_data.csv
My brothers I have good things,Banange nalina ebigova ebirungi,data\raw\makerere_nlp.csv
Beautiful Luganda works,Emirimu egyogyiri eya Luganda,data\raw\makerere_nlp.csv
People go to the farm,Abantu bagenda ku nnimiro,data\raw\makerere_nlp.csv
The clan leaders met to discuss the development of their community.,Abakulembeze b'ebika baakuŋŋaana okukubaganya ebirowoozo ku nkulakulana y'ekitundu kyabwe.,cultural_dataset.csv
The royal drums announce festivals,Engalabi z'obwakabaka zigulidde enkubanga,data\cultural\cultural_training_data.csv
The elders resolved the dispute with fairness.,Abakadde baagonjoola empaka mu bwenkanya.,cultural_dataset.csv
I was loving my heritage,Nali njagala emikolo gyennyini,data\raw\jw300_parallel.csv
Luganda was a very beautiful language,Luganda lukyali lulimi lurungi nnyo,data\raw\sunbird_salt.csv
The Nnabagereka holds great power,Nnabagereka alina maanyi mangi,data\cultural\cultural_training_data.csv
The chief started playing the drum,Mwami atandika okukuba engoma,data\raw\jw300_parallel.csv
We honor our totems,Tutegeeza muzizo gaffe,data\cultural\cultural_training_data.csv
Respect your elders always,Ssegeza abakulu baagante,data\cultural\cultural_training_data.csv
But we held a goat's horn,Kyokka tukakwata kabali k'emboozi,data\raw\jw300_parallel.csv
I speak the language of my people,Njogezi olulimi lw'abantu bange,data\cultural\cultural_training_data.csv
