luganda,english
Entonda za Katonda bazaalira,God's blessings give life
Ennyo z'obwavu zaagwa ku kabaka,The pieces of cloth fell on the king
Omuntu akwata mu kiwanyi ky'okukola ok'emala,A person holds in the madness of endless work
Ewange lyeeyali lya Katonda,My portion was of God
Banange nalina ebigova ebirungi,My brothers I have good things
Omugagga aba mukyanyankanya,The rich man becomes confused
Omusajja omu azaalira,One man fathers
Nnyabo,Ma'am
Eggwanga ere gye werebwamu,This nation where we are
Emirimu egyogyiri eya Luganda,Beautiful Luganda works
Baali baleete ennyo z'emiyigo,They brought many car tires
Agalimi gaffe tumukulira,We love our country
Olwokubiri twe tulina emirimu mingi,For this reason we have many tasks
Mwami atandika okukuba engoma,The chief started playing the drum
Nkekkaanya,I speak
Oluganda lwe lulimi lya bazadde baffe,Luganda is the language of our ancestors
Okugala okukola okwo okwo,Continuing to do the same thing
Bafa mu kufa kwa Yesu,They die in the death of Jesus
Luganda lukyali lulimi lurungi nnyo,Luganda was a very beautiful language
Okutuufu ne kyo kye kiyinza kuva eri Katonda,Truth is what can come from God
Ensolo essanvu sa nzira,Wild animals are not the way
Okukubaganya okukuwa omusolo,Parting gives us sorrow
Abikira bakikasa okujaga ensolo,The keepers protect going after animals
Amagye gatwalibwa Katonda,Fathers are taken by God
Oli otya,How are you
Omukazi alina enzira z'emikono gye,A woman has the ways of her hands
Abakakasa bajja ku lukewu lwa Katonda,Believers come to God's judgment
Okutegeeza Oluganda kwa obulungi kye kuziiyiza,Speaking Luganda well is important
Kyokka lukeka lwonna luno lukyali lungi,But all this speech was good
Kyokka mu Afrika,But in Africa
Ndi Muganda,I am Lugandan
Nali njagala emikolo gyennyini,I was loving my heritage
Eyali nzakazi yeeyali ngwanyi,She was a widow and he was a man
Webale nnyo,Thank you very much
Okukyamu n'okuyingira mu mmotoka,Going back and entering the car
Enkoko efuna amakuba mu zzira,The chicken gets corn in the compound
Abantu bagenda ku nnimiro,People go to the farm
Baafuna ffenna eyali mu nnooyi,They found everything that was in the stomach
