english,luganda,source
Which car are you going with?,Mmotoka ki gy'ogenda nayo?,kambale
What do you have to say about this pregnancy?,Olubuto luno olwogerako ki?,kambale
He saves part of his salary every month.,Alina ky'aterekako ku musaala gwe buli mwezi.,kambale
Community policing can be used as a way of fighting smuggling.,Okulawuna ebitundu kusobola okukozesebwa ng'engeri y'okulwanyisa okukukusa ebintu.,kambale
Everyone was working hard to prove their worth to the company.,Buli omu yali akola nnyo okukakasa nti wa mugaso nnyo eri kampuni.,kambale
You have a nice watch.,Olina essaawa ennungi.,kambale
The government allocated little money to the agriculture sector.,Gavumenti etadde ssente ntono nnyo mu by'obulimi.,kambale
The leader got the highest number of votes during the presidential elections.,Omukulembeze yafuna obululu obusinga obungi mu kiseera ky'okulonda pulezidenti,kambale
These days many farmers in Uganda have adopted commercial farming.,Ennaku zino abalimi bangi mu Uganda balima emmere ey'okutunda.,kambale
The government provided support to the people affected by the fire outbreak in Maracha district.,Gavumenti yawaayo obuyambi eri abantu abaakosebwa omuliro mu disitulikiti y'e Maracha.,kambale
What were some of the restrictions set by the government to reduce the spread of the pandemic?,Agamu ku mateeka agaassibwawo gavumenti okukendeeza ku kusaasaana kw'ekirwadde ge galuwa?,kambale
Who will be supervising the exams?,Ani anaakuuma ebigezo?,kambale
The district leader refuted the allegations against the city.,Omukulembeze wa disitulikiti yakakasa obufu bw'ebyogerebwa ku kibuga.,kambale
It is advisable to register all your properties in your name.,Kya magezi ebintu byo byonna okubiwandiisa mu linnya lyo.,kambale
Law enforcement agents apply what they think is right.,Abakwasisa amateeka bagoberera ekyo kye balowooza nti kituufu.,kambale
Some schools may open illegally.,Amasomero agamu gayinza okuggulawo naye nga tegannaweebwa lukusa.,kambale
The old man's hut was burnt down.,Akasiisira k'omusajja omukadde kaayokebwa.,kambale
How many coronavirus deaths recorded as of today?,Abantu bameka abafudde akawuka ka kolona?,kambale
He has won lots of medals over the years.,Awangudde emidaali mingi nnyo okumala emyaka mingi.,kambale
When are you finishing your exams?,Omaliriza ddi ebibuuzo byo?,kambale
We tied a rope in the cow's neck.,Omuguwa twagusiba mu bulago bw'ente.,kambale
The decisions we make today should be able to benefit future generations.,Bye tusalawo leero bisaanidde okuba nga bijja kuganyula ab'omu mirembe egijja.,kambale
As the registrar reached the judgment of the five judges tension mounted.,Munnamateeka bwe yatuuse ku kusalawo kw'abalamuzi abataano abantu emitima gy'abeewanise.,kambale
A sizeable percentage of Italians are classified as gambling addicts,Ettundutundu ly'Abayitale eddene litwalibwa okuba eryatamiira okusiba ku mizannyo.,kambale
Where is the bus driver?,Omugoba wa bbaasi ali wa?,kambale
The judges will select the finalists.,Abalamuzi bajja kulonda abanaaba mu mpaka ez'akamalirizo.,kambale
At a personal level that confidence had completely collapsed.,Ku ddaala ly'obuntu obuvumu obwo bwali buggwereddewo ddala.,kambale
The suspect is being protected by top officials.,Ateeberezebwa akuumibwa abakuumaddembe ab'oku ntikko.,kambale
The proceedings have been postponed until next week.,Okuwulira omusango kwongezeddwayo okutuusa wiiki ejja.,kambale
What are the guidelines for fishers who work on the lakes in Uganda?,Biki ebirambika abavubi abakoera ku nnyanja mu Uganda?,kambale
The suspension of these students will be an example for the rest.,Okuwummuzibwa kw'abayizi bano kujja kuba kya kulabirako eri abasigadde.,kambale
The dance performance excited the audience.,Amazina gaasanyusizza nnyo abantu.,kambale
I watched the match on television at a nearby bar.,Omuzannyo nnagulabira ku ttivi mu bbaala eri okumpi awo.,kambale
The table took up most of the space in the room.,Emmeeza yatwala ekifo ekisinga obunene mu kisenge.,kambale
Some coronavirus vaccines are still under clinical trials.,Eddagala lya corona erimu bakyaligezesa.,kambale
Tanzania attained middle-income status last year.,Omwaka oguwedde Tanzania yatuuka mu lubu lw'amawanga agalina enfuna ensaamusaamu.,kambale
The police are still investigating the cause of the fire.,Poliisi ekyanoonyereza ekyavuddeko omuliro.,kambale
The most common sports game is football.,Omuzannyo ogukyasinze okwettanirwa gwe gw'omupiira gw'ebigere.,kambale
Children often rub their eyes when they are tired.,Abaana batera okukunya amaaso nga bakoowu.,kambale
It would be the saving grace for a bloc that generally had a bad year politically.,Kyandinunudde omukago ogubadde n'omwaka omubi mu byobufuzi.,kambale
He gave a speech during the meeting.,Yayogera mu lukungaana.,kambale
The defendant would be able to respond to the charges in court on Monday.,Omuwaawabirwa ajja kusobola okuwa empoza ye mu kkooti ku Bbalaza.,kambale
His initial statement about the murder differs from his recent one.,Bye yasooka okwogera ku ttemu eryo byawukana ku ebyo by'ayogera kati.,kambale
The old students of the school have donated scholastic materials.,Abayizi abaasomerako ku ssomero bawaddeyo ebikozesebwa ku ssomero.,kambale
Money should be accounted for.,Ssente zirina okubalirirwa.,kambale
Violent free elections are possible.,Okulonda okutaliimu ffujjo kusoboka.,kambale
It's healthier to put on new clothes than second-hand clothes.,Kya bulamu nnyo okuteekako engoye empya okusinga enyambalemu.,kambale
Women and men are so vulnerable.,Abakazi n'abasajja bonna bali mu bulabe.,kambale
Our cultural music attracts tourists from different countries to Uganda annually.,Ennyimba zaffe ez'obuwangwa zisikiriza abalambuzi okuva mu nsi ez'enjawulo buli mwaka.,kambale
He takes his job seriously.,Atwala omulimu gwe ng'ekikulu.,kambale
They are not allowed beyond the gate.,Tebakkirizibwa kusukka ggeeti.,kambale
The presidential candidates met up today.,Abesimbyewo ku ky'obukulembeze b'eggwanga basisinkanye leero.,kambale
I learned how to wash my clothes when I joined boarding school.,Nnayiga okwoza engoye zange bwe nnagenda mu ssomero ly'ekisulo.,kambale
My grandparents also benefited from government aid last year.,Bajjajjange nabo baaganyulwa mu buyambi bwa gavumenti omwaka oguwedde.,kambale
The suspects are in police custody.,Abateeberezebwa bali mu kaduukulu ka poliisi.,kambale
Our journey is ending today.,Olugendo lwaffe lukoma leero.,kambale
A lot of items were sold during the trade show.,Ebintu bingi nnyo byatundiddwa mu mwoleso.,kambale
The legislators signed an income tax bill yesterday.,Olunaku lwa jjo abateesi b'amateeka baatadde omukono ku tteeka erikwata ku musolo oguggibwa ku nnyingiza y'omuntu.,kambale
Pastors preach the gospel.,Abasumba babuulirira engiri.,kambale
I guess they are.,Nteebereza be bo.,kambale
Our manager is a mother of three beautiful girls.,Manejja waffe maama w'abawala basatu abalabika obulungi.,kambale
He intends to lobby funds from the government through youth livelihood programs.,Agenderera okusaka obuyambi okuva mu gavumenti ng'ayita mu nteekateeka z'abavubuka.,kambale
Individual discussions are needed with each student.,Kyetaagisa okwogerako n'abayizi kinnoomu.,kambale
We have similar hobbies.,Tunyumirwa ebintu bye bimu.,kambale
For an external and independent oversight.,Okunoonyereza okuli ebweru nga kwetongodde.,kambale
When the time comes we will let you know.,Obudde we bunaatuuka tujja kubategeeza.,kambale
This man has been to China more than once.,Omusajja ono abaddeko mu China omulundi ogusukka mu gumu.,kambale
There was a massive turn-up at the election polls.,Okukuba akalulu kwajjumbirwa nnyo.,kambale
The taxis were scarce today.,Takisi zibadde ntono leero.,kambale
Thieves have tactics of breaking padlocks without keys.,Ababbi balina obukoddyo bw'okumenya enzigi nga tebakozesezza bisumuluzo.,kambale
The team will participate in the World Cup games.,Ttiimu ejja kwenyigira mu mpaka z'ekikopo ky'ensi yonna.,kambale
Take your drugs on time and you will be healed.,Mira eddagala lyo mu budde ojja kuwona.,kambale
How can we improve service delivery to our customers?,Tuyinza kulongoosa tutya empeereza yaffe eri abawagizi baffe?,kambale
The medical report will disclose what happened to the boy.,Ebbaluwa y'eddwaliro ejja kulambika kiki ekyatuuse ku mulenzi.,kambale
He said that during an interview on television.,Ekyo yakyogera bwe baali bamubuuza ebibuuzo ku ttivi.,kambale
Some areas have a weak internet connection.,Mu bifo ebimu intaneeti mbi.,kambale
A big percentage of people discourage the use of tobacco products.,Omuwendo gw'abantu bangi gugaana okukozesa ebintu ebiva mu taaba.,kambale
The number of tourists in the country has reduced because of the pandemic.,Omuwendo gw'abalambuzi abajja mu ggwanga gukendedde olw'ekirwadde.,kambale
There are various optional courses for students to take at University.,Waaliwo emisomo egy'enjawulo abayizi gye basobola okulondako ku Ssetendekero.,kambale
I declare a wonderful  and prosperous today.,Nangirira olunaku olw'essanyu era olw'emikisa leero.,kambale
Where does your friend study from?,Mukwano gwo asomera wa?,kambale
Child marriages are on the rise in the country.,Omuwendo gw'abaana mu ggwanga abafumbizibwa gweyongera buli lukya.,kambale
The region members are excited about administrative results.,Bammemba b'ekitundu bakyamufu ku biva mu kakiiko ak'oku ntikko.,kambale
Refugee settlements should be monitored to avoid child trafficking.,Ebifo ebirimu abanoonyiboobubudamu birina okulondoolwa okwewala ekibbabaana.,kambale
In case of any challenges faced at work report to the management.,Mu kusomoozebwa kwonna ku mulimu loopa eri abaabaddukanya.,kambale
The High Court has dismissed the murder case against me.,Kooti enkulu egobye omusango ogw'obutemu ogwampawaabirwa.,kambale
As the blade loses its edge water gets under it and remains on the glass.,Labba bw'eggwerera etandika okuleka amazzi ku ndabirwamu.,kambale
The chairman did not attend the event.,Ssentebe teyetabye ku mukolo.,kambale
Restaurants make a lot of money from University students.,Ebirabo by'emmere bikola ensimbi nnyingi okuva mu bayizi ba ssettendekero..,kambale
You can terminate the employee's contract if they fail to fulfil their obligations.,Osobola okusazaamu endagaano y'omukozi singa balemererwa okutuukiriza emirimu gyabwe.,kambale
Morocco is the most visited country in Africa.,Morocco ly'eggwanga mu Afirika erisinga okukyalibwamu..,kambale
The cost of living in urban areas is high.,Embeera y'obulamu mu bibuga eri waggulu nnyo.,kambale
The government has built a new road in my district.,Gavumenti ezimbye ekkubo epya mu disitulikiti yange.,kambale
Wild animals are not the way,Ensolo essanvu sa nzira,sunbird
The suits were also intimidating for patients.,Ebyambalo byali bitiisa abalwadde.,kambale
It culminated in his declaration in the two thousand one elections.,Kyaviirako okulangirira kwe mu kulonda kwa nkumi bbiri mu gumu.,kambale
Malaria was very common last year.,Omusajja gw'ensiri gwali mungi nnyo omwaka oguwedde.,kambale
There is an increase in wildlife animals every year.,Ebisolo by'omu nsiko byeyongera obungi buli mwaka.,kambale
You have a smooth skin.,Olina olususu oluweeweevu.,kambale
The receptionist welcomed us in a very respectable manner.,Omukozi ayaniriza abagenyi yatwanirizza mu ngeri eweesa ekitiibwa.,kambale
A thief attacked the security guard.,Omubbi yalumba omukuumi.,kambale
By use of ballot papers you can now secretly cast your vote.,Nga tukozesa obukonge bw'okulonda osobola kati okulonda gw'oyagala mu kyama.,kambale
Most boxing clubs in Uganda have registered for the tournament.,Kiraabu z'ebikonde ezisinga obungi mu Uganda zeewandiisizza okwetaba mu mpaka.,kambale
Solar products are relatively costly.,Ebintu by'amaanyi g'enjuba bya buseere mu.,kambale
All teachers in our school were awarded tokens for being innovative.,Abasomesa bonna mu ssomero lyaffe baaweereddwa obulabo olw'okubeera abayiiya.,kambale
This is a rainy season.,Bino biseera bya nkuba,kambale
We should love and respect each other.,Tulina okwagalaggana n'okuwangana ekitiibwa.,kambale
We shall have the leaders' meeting tomorrow.,Tujja kuba n'olukungaana lw'abakulembeze enkya.,kambale
She is a lawyer who fights for the rights of orphans and widows.,Akola nga munnamateeka alwanirira eddembe lya bamulekwa ne bannamwandu.,kambale
The medical department and the taskforce have received immense support from the government.,Ekitongole ekijjanjabi n'akakiiko akalabirizi bifunye obuyambi bungi nnyo okuva mu gavumenti.,kambale
She looks weak today is she sick?,Alabika nga mugonvu leero oba mulwadde?,kambale
It is challenging to grow up as an orphan sometimes.,Ebiseera ebisinga kisomooza nnyo okula nga mulekwa.,kambale
Yesterday one of the prisoners escaped.,Olunaku lwa jjo omu ku basibe yatolose.,kambale
Ugandans scorned the piecemeal attempts at fighting corruption.,Bannayuganda tebaafaayo kimala ku kulwanisa obuli bw'enguzi.,kambale
Police officers need to begin to see police misconduct as detrimental rather than beneficial.,Boffiisa bapoliisi balina okukimanya nti emize gya poliisi gyonoona okusinga okuyamba.,kambale
They did a lot of work around the area.,Baakola omulimu munene mu kitundu.,kambale
The land was given to investors without proper authorization.,Ettaka lyaweebwa bayinvesita nga tebagoberedde mateeka matuufu.,kambale
Absenteeism could be a leading factor for poor performance.,Okwosa kuyinza okuba ensonga ekulembedde eviirako okukola obubi.,kambale
The farmers purchased more seedlings.,Abalimi baagula endokwa endala.,kambale
Isolate yourself in case you have any symptoms of coronavirus.,Weeyawule ku balala bw'oba olina obubonero bwonna obw'ekirwadde kya korona.,kambale
We read a number of African storybooks in the literature class.,Tusoma ebitabo bingi ebirimu ebyafaayo ebikwata ku Afirika nga tuli mu kibiina eky'okusoma ebitabo.,kambale
The focus should be put on agricultural development.,Essira lirina kuteekebwa ku kutumbula bya bulimi.,kambale
It is hard to have children concentrate in online classes.,Tekiba kyangu baana kussaayo birowoozo nga basomera ku intaneeti.,kambale
Leonardo Da Vinci was a classical European painter.,Leonardo Da Vinci yali Mungereza omusiizi w'ebifaananyi omusuffu,kambale
I could not participate in the elections because I was sick.,Seetaba mu kulonda kubanga nnali mulwadde.,kambale
I last talked to her three months ago.,Nnasembayo okwogera naye emyezi esatu egiyise.,kambale
Health workers will not be intimidated because their duty is to provide health services.,Abasawo tebajja kutiisibwatiisibwa kubanga omulimu gwabwe kugaba mpeereza za bujjanjabi.,kambale
She has to account for the money she was given for shopping.,Alina okulaga engeri gye yakozesaamu ssente ezaamuweebwa okugula ebintu.,kambale
Parents asserted that students should behave well in society.,Abazadde bakkaatiriza nti abayizi bateekeddwa okweyisa obulungi mu kitundu.,kambale
Limited contacts with various people limit one's exposure to contracting diseases.,Obuteetaba na bantu bangi kikendeeza obulabe bw'omuntu okukwatibwa endwadde.,kambale
She said that she wanted to be alone.,Yagambye nti ayagala kuba yekka.,kambale
The children ran outside the house to welcome their father.,Abaana baafuluma mu nju nga badduuka okwaniriza kitaabwe.,kambale
The truck drivers were told to avoid over speeding.,Abavuzi ba biroole baabagamba okwewala okuvuga endiima.,kambale
She sought advice from her husband about the best phones in the market.,Yeebuuzizza ku mwami we amuwe ku magezi ku ssimu ezisingayo obulungi eziri ku katale.,kambale
What are the signs of high blood pressure?,Bwoleko ki kwolabira obulwadde bwa puleesa?,kambale
She spoke to the children's doctor at the hospital.,Yayogerako n'omusawo w'abaana ku ddwaliro.,kambale
The ministry of lands is handling land-related matters and cases countrywide.,Minisitule ky'ebyettaka ekola ku ensonga wamu n'emisango egyekuusa ku ttaka okwetooloola eggwanga lyonna.,kambale
The concert was a huge success.,Konsati yagenda bulungi nnyo,kambale
We have access to clean water.,Tuyina amazzi amayonjo.,kambale
Some women experience joint pain during pregnancy.,Abakazi abamu balumwa ennyingo nga bali lubuto.,kambale
His business is strategically located.,Bizineesi ye eri mu kifo kirungi.,kambale
Schools should emphasize a balance between academics and sports.,Amasomero gasaanidde obutagwa lubege ku bikwata ku by'enjigiriza n'eby'emizannyo.,kambale
Have you talked to the players?,Oyogeddeko n'abazannyi?,kambale
Things are done differently in every university.,Mu buli yunivasite ebintu bikolebwa mu ngeri ya njawulo.,kambale
But platforms such as Facebook have also changed how people consume content.,Naye emikutu nga facebook gikyuusizza engeri abantu gye bafunamu obubaka.,kambale
The company facilitated ten people but only eight attended the workshop.,Kampuni yasasulira abantu kkumi naye abantu munaana bokka be baagenda mu musomo.,kambale
The national budget did not provide enough funds for school construction.,Embalirira y'eggwanga teyawa ssente zimala kuzimba masomero.,kambale
The economic war between America and China has extended to Africa.,Olutalo lw'eby'enfuna oluli wakati wa Amerika ne China lutuuse ne mu Afirika.,kambale
There are many sexual myths that often misguide teenagers.,Waliwo ebiwanuuzibwa bingi ku kwegatta ebitera okulambika abavubuka.,kambale
