luganda,english
entonda za katonda bazaalira,god's blessings give life
ennyo z'obwavu zaagwa ku kabaka,the pieces of cloth fell on the king
omuntu akwata mu kiwanyi ky'okukola ok'emala,a person holds in the madness of endless work
ewange lyeeyali lya katonda,my portion was of god
banange nalina ebigova ebirungi,my brothers i have good things
omugagga aba mukyanyankanya,the rich man becomes confused
omusajja omu azaalira,one man fathers
nnyabo,ma'am
eggwanga ere gye werebwamu,this nation where we are
emirimu egyogyiri eya luganda,beautiful luganda works
baali baleete ennyo z'emiyigo,they brought many car tires
agalimi gaffe tumukulira,we love our country
olwokubiri twe tulina emirimu mingi,for this reason we have many tasks
mwami atandika okukuba engoma,the chief started playing the drum
nkekkaanya,i speak
oluganda lwe lulimi lya bazadde baffe,luganda is the language of our ancestors
okugala okukola okwo okwo,continuing to do the same thing
bafa mu kufa kwa yesu,they die in the death of jesus
luganda lukyali lulimi lurungi nnyo,luganda was a very beautiful language
okutuufu ne kyo kye kiyinza kuva eri katonda,truth is what can come from god
ensolo essanvu sa nzira,wild animals are not the way
okukubaganya okukuwa omusolo,parting gives us sorrow
abikira bakikasa okujaga ensolo,the keepers protect going after animals
amagye gatwalibwa katonda,fathers are taken by god
oli otya,how are you
omukazi alina enzira z'emikono gye,a woman has the ways of her hands
abakakasa bajja ku lukewu lwa katonda,believers come to god's judgment
okutegeeza oluganda kwa obulungi kye kuziiyiza,speaking luganda well is important
kyokka lukeka lwonna luno lukyali lungi,but all this speech was good
kyokka mu afrika,but in africa
ndi muganda,i am lugandan
nali njagala emikolo gyennyini,i was loving my heritage
eyali nzakazi yeeyali ngwanyi,she was a widow and he was a man
webale nnyo,thank you very much
okukyamu n'okuyingira mu mmotoka,going back and entering the car
enkoko efuna amakuba mu zzira,the chicken gets corn in the compound
abantu bagenda ku nnimiro,people go to the farm
baafuna ffenna eyali mu nnooyi,they found everything that was in the stomach
