english,luganda,cultural_context,source
I belong to the Mmamba clan,Ndi wa kika kya Mmamba,CLAN,Cultural_Dataset
I am from the Ngabi clan,Ndi wa kika kya Ngabi,CLAN,Cultural_Dataset
The Mamba is my totem,Muzizo gwange gwe Mmamba,TOTEM,Cultural_Dataset
I respect my clan traditions,Nsiga enkola z'ekika kyange,TRADITION,Cultural_Dataset
The Kabaka visited the people,Kabaka yalambula abantu,ROYAL,Cultural_Dataset
The Kabaka is respected,Kabaka assibwamu ekitiibwa,ROYAL,Cultural_Dataset
Do not eat your totem,Tolyanga muzizo gwo,TOTEM,Cultural_Dataset
Respect your clan elders,Ossegeze abakulu b'ekika ky'o,FAMILY,Cultural_Dataset
The king is the ruler of Buganda,Kabaka ye mukulu wa Buganda,ROYAL,Cultural_Dataset
The Nnabagereka is the queen,Nnabagereka ye nnakaffe,ROYAL,Cultural_Dataset
Buganda has a proud history,Buganda erina emiwendo nyo gy'okukola entalo,HISTORY,Cultural_Dataset
Our ancestors guide us,Mwanzo gaffe bagendereza,ANCESTOR,Cultural_Dataset
I am proud to be Baganda,Nkwesigamizza okuba Muganda,IDENTITY,Cultural_Dataset
The clan head made a decision,Omukulu w'ekika akola gavumenti,LEADERSHIP,Cultural_Dataset
We gather for clan meetings,Tutuukira okukubaganya mu kunnyonnyola ekika,GATHERING,Cultural_Dataset
Matoke is our traditional food,Matoke gwe yambirira eyo eya Buganda,FOOD,Cultural_Dataset
The elders hold wisdom,Abakulu balina muwendo gwa nkola,WISDOM,Cultural_Dataset
My mother's clan is important,Ekika kya maama yange kiri mwaanyi,FAMILY,Cultural_Dataset
Respect the traditions of Buganda,Ossegeze enkola z'Buganda,TRADITION,Cultural_Dataset
The Kabaka's palace is grand,Obwakabaka bwa Kabaka burangira nyo,ROYAL,Cultural_Dataset
We honor our totems,Tutegeeza muzizo gaffe,TOTEM,Cultural_Dataset
The kingdom prospers under the Kabaka,Obwakabaka bujja mu kabaka waffe,ROYAL,Cultural_Dataset
Clan unity is strength,Obwekika bwa kika kye maanyi,UNITY,Cultural_Dataset
I will teach my children our traditions,Nzija okuwoza abaana bange enkola yeffe,FAMILY,Cultural_Dataset
The Ngabi clan is warrior,Ekika kya Ngabi kye likitala,CLAN,Cultural_Dataset
Ritual is part of our culture,Ekigazi kye gaffle nk'ekika kyenna,RITUAL,Cultural_Dataset
The blessing of the elders is sought,Abantu basigala bakubanga ekifo ky'abakulu,BLESSING,Cultural_Dataset
Our lineage connects us,Kika kyaffe kituunika nne,LINEAGE,Cultural_Dataset
The Kabaka leads with wisdom,Kabaka ye yagendereza mu muwendo gwa nkola,LEADERSHIP,Cultural_Dataset
Buganda is a kingdom with pride,Buganda ye kingdom ng'efuna ekitiibwa kya kabaka,PRIDE,Cultural_Dataset
I carry my clan's name with honor,Njira kika kyange namu ekitiibwa,HONOR,Cultural_Dataset
Traditional ceremonies bond families,Ekigazi kya nkola kituunika olubwamu,CEREMONY,Cultural_Dataset
The totem protects the clan,Muzizo gugwa kika mu mimutu,PROTECTION,Cultural_Dataset
Respecting elders shows good manners,Okussegeza abakulu kye nkola emajasi,RESPECT,Cultural_Dataset
The king is crowned with ceremony,Kabaka awetibwa mu ekigazi kya kulunnyanya,CEREMONY,Cultural_Dataset
We are children of Buganda,Ndi abaana ba Buganda,IDENTITY,Cultural_Dataset
The royal drums announce festivals,Engalabi z'obwakabaka zigulidde enkubanga,MUSIC,Cultural_Dataset
Clan history is rich and deep,Emiwendo gy'ekika kyaffe gikira mu miwaliro,HISTORY,Cultural_Dataset
I inherit customs from my ancestors,Nsiiga enkola z'emwanzo gwange,INHERITANCE,Cultural_Dataset
The Kabaka's council decides laws,Entengezi y'obwakabaka ekyusa amateeka,GOVERNANCE,Cultural_Dataset
My family lineage is traced through clan,Omwanzo gwange gukooweze mu kika kyaffe,LINEAGE,Cultural_Dataset
The Mmamba clan symbol is strength,Ekika kya Mmamba kya maanyi ku kifo,SYMBOL,Cultural_Dataset
We celebrate under the Kabaka's rule,Tukulala mu nnafuu ya Kabaka,CELEBRATION,Cultural_Dataset
Tradition guides our daily lives,Enkola ewedde nka yo yonna enya yeffe,TRADITION,Cultural_Dataset
The elders bless new endeavors,Abakulu batugeeza entegeka empya,BLESSING,Cultural_Dataset
Clan names carry ancestral meaning,Erinnya ly'ekika lirya lya mwanzo,NAMING,Cultural_Dataset
I speak the language of my people,Njogezi olulimi lw'abantu bange,LANGUAGE,Cultural_Dataset
The Kabaka protects Buganda's people,Kabaka alinda abantu b'Buganda,PROTECTION,Cultural_Dataset
Our music reflects clan pride,Omuyimbe gwaffe gutegeeza kika kyaffe,MUSIC,Cultural_Dataset
Cultural identity strengthens community,Okukumanyisa okulabika makwano,COMMUNITY,Cultural_Dataset
The king's word is law,Ekigendereze kya Kabaka kye mateeka,LAW,Cultural_Dataset
I am bound to my clan always,Njisibwa ekika kyange mu kiseera kyonna,DUTY,Cultural_Dataset
Traditional dances tell our stories,Enkuluze z'entera zigamba emiwendo gyaffe,DANCE,Cultural_Dataset
The Nnabagereka holds great power,Nnabagereka alina maanyi mangi,POWER,Cultural_Dataset
My ancestors watch over my path,Emwanzo gyange ginenya ku njira yange,ANCESTOR,Cultural_Dataset
Respect brings honor to your name,Okussegeza kunabira ekitiibwa mu linnya lyo,RESPECT,Cultural_Dataset
The kingdom values loyalty,Obwakabaka bwa Buganda busigala mu kiseera,LOYALTY,Cultural_Dataset
Clan gatherings strengthen bonds,Enkubukana z'ekika kituunika obwekika,UNITY,Cultural_Dataset
The Kabaka's blessing brings fortune,Ekifo kya Kabaka kikisa omwaka oguwanvu,BLESSING,Cultural_Dataset
I honor the way of my fathers,Ntegeeza njira z'abadada bange,HONOR,Cultural_Dataset
Traditional wisdom is invaluable,Nkola ey'infenenefu eya mwanzo ewanvu,WISDOM,Cultural_Dataset
The totem is sacred to the clan,Muzizo gwe kifo kya kabika kyaffe,SACRED,Cultural_Dataset
We gather to celebrate the Kabaka,Tutuuka okukubaganya Kabaka,CELEBRATION,Cultural_Dataset
Clan duties bind us together,Emirimu gy'ekika egi tuliga pako,DUTY,Cultural_Dataset
The king walks with great authority,Kabaka yenda mu bulamu obw'amaanyi,AUTHORITY,Cultural_Dataset
My cultural heritage defines me,Enkola z'emwanzo gwange zimpimpi,IDENTITY,Cultural_Dataset
Respect your elders always,Ssegeza abakulu baagante,RESPECT,Cultural_Dataset
The Buganda kingdom is ancient and wise,Obwakabaka bwa Buganda kikira mu miwaliro,HISTORY,Cultural_Dataset
Clan pride runs through my blood,Kitiibwa kya kika kyange kikira mu misima gwange,PRIDE,Cultural_Dataset
