luganda,english
Ssebo,Sir
Nnyabo,Ma'am
Omuntu ayinza okukola emirimu mingi,A person can do many things
Eyali nzakazi yeeyali ngwanyi,She was a widow and he was a man
Okusoma Oluganda kule okukola emirimu,Learning Luganda helps in work
Abantu bagenda ku nnimiro,People go to the farm
Banange nalina ebigova ebirungi,My brothers I have good things
Emirimu egyogyiri eya Luganda,Beautiful Luganda works
Omuntu akwata mu kiwanyi ky'okukola ok'emala,A person holds in the madness of endless work
Entonda za Katonda bazaalira,God's blessings give life
Abaana bashimidde mu ssomero,Children learned in school
Okukubaganya okukuwa omusolo,Parting gives us sorrow
Abakakasa bajja ku lukewu lwa Katonda,Believers come to God's judgment
Omukazi alina enzira z'emikono gye,A woman has the ways of her hands
Abikira bakikasa okujaga ensolo,The keepers protect going after animals
